CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
FINDCAT,24 HOUR URINE COLLECTION,24 Hour Urine Collection,,,1,,,24 Hour Urine Collection
FINDCAT,ACCELEROMETRY DATA,Accelerometry Data,,,1,,,Accelerometry Data
FINDCAT,ACR COMPONENTS,ACR components,,,100,,,American College of Rheumatology (ACR)
FINDCAT,ACTIGRAPH COUNTS,Actigraph Counts,,,1,,,Actigraph Counts
FINDCAT,ADAS-COG-13,ADAS-Cog-13,,,1,,,Alzheimer's Disease Assessment Scale - Cognitive Behavior Version 13 (ADAS-Cog-13). NIA Alzheimer?s Disease Cooperative Study (NIA Grant AG10483).
FINDCAT,ADCS-ADL MCI,ADCS-ADL MCI,,,1,,,"Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (ADCS-ADL), MCI Version (Galasko, D., Bennett, D., Sano, M., Ernesto, C., Thomas, R., Grundman, M., Ferris, S., and the ADCS. An Inventory to Assess Activities of Daily Living for Clinical Trials in Alzheimer's Disease. Alzheimer's Disease and Associated Disorders, 1997. Volume 11(2): S33-S39)."
FINDCAT,AE ADDITIONAL DATA,AE - Do not use - Change,,,1,,,"Sponsor-defined: Adverse Events requiring additional Data collection"
FINDCAT,AE REQUIRING ADDITIONAL DATA,AE Requiring Additional Data,,,1,,,"AE requiring additional data - For the SHARP forms"
FINDCAT,AIMS,Abnormal Involuntary Movement Scale,,,1,,,"Abnormal Involuntary Movement Scale (AIMS) (Guy W. Ed. ECDEU Assessment Manual for Psychopharmacology. Rockville MD: US Dept of Health, Education and Welfare. 1976, Publication No. (ADM) 76-338)."
FINDCAT,ALCOHOL BREATH TEST,Alcohol breath test,,,112,,,"Finding category, Alcohol breath test"
FINDCAT,ALCOHOL HABITS,Alcohol habits,,,241,,,Alcohol habits
FINDCAT,AMYLOID POSITIVITY,Amyloid Positivity,,,1,,,Amyloid Positivity
FINDCAT,ANTIBODIES,Antibodies,,,114,,,Antibodies
FINDCAT,APGAR SCORE,Apgar Score,,,1,,,"Category for APGAR score (Appearance, Pulse, Grimace, Activity, and Respiration)"
FINDCAT,APPEAL VAS,Appeal VAS,,,1,,,"Appeal VAS"
FINDCAT,APPETITE VAS,Appetite VAS,,,1,,,"Appetite VAS"
FINDCAT,ASCQ-ME EMOTIONAL IMPACT V2.0,ASCQ-Me Emotional Impact V2.0,,,1,,,ASCQ-Me Emotional Impact. Adult Sickle Cell Quality of Life Measurement. 2010-2016 American Institutes for Research 1 V2.0
FINDCAT,ASCQ-ME PAIN IMPACT V2.0,ASCQ-Me Pain Impact V2.0,,,1,,,ASCQ-Me Pain Impact. Adult Sickle Cell Quality of Life Measurement. 2010-2016 American Institutes for Research 1 V2.0
FINDCAT,ASCQ-ME SOCIAL FUNCTIONING V2.0,ASCQ-Me Social Functioning Impact V2.0,,,1,,,ASCQ-Me Social Functioning Impact. Adult Sickle Cell Quality of Life Measurement. 2010-2016 American Institutes for Research 1 V2.0
FINDCAT,ATHEROSCLEROTIC INFLAMMATION,Atherosclerotic Inflammation,,,1,,,"Atherosclerotic Inflammation."
FINDCAT,AUDIT-I,Audit-I,,,1,,,"The Alcohol Use Disorders Identification Test: Interview Version. 
Ref: Maristela G. Monteiro, et al;
AUDIT ? The Alcohol Use Disorders Identification Test, Guidelines for Use in Primary Care?, Second Edition, World Health Organization, Department of Mental Health and Substance Dependence (WHO/MSD/MSB/01.6a)"
FINDCAT,AUDIT-SR,Audit-SR,,,1,,,"Alcohol Use Disorder Identification Test Self-Report Version Questionnaire

Code:C119097
CDISC Submission Value: AUDIT-SR
CDISC Synonym(s): ADT01
CDISC Definition: Alcohol Use Disorder Identification Test: Self-Report Version (AUDIT) (Saunders JB, Aasland, OG, Babor, TF, De La Fuente JR, Grant M. Development of the Alcohol Use Disorders Identification Test (AUDIT): WHO Collaborative Project on Early Detection of Persons with harmful Alcohol Consumption-II. Addiction (1993) 88:791-804).
NCI Preferred Term: Alcohol Use Disorder Identification Test Self-Report Version Questionnaire
"
FINDCAT,BHQ,Baseline Hypoglycaemia Questionnaire,,,1,,,"Baseline Hypoglycaemia Questionnaire"
FINDCAT,BIOCHEMISTRY,Biochemistry,,,209,,,"Finding category, Biochemistry"
FINDCAT,BIOMARKER,Biomarker,,,1,,,"Finding category, Biomarker"
FINDCAT,BLEEDING EPISODE,Bleeding episode,,,1,,,Bleeding episode in haemophilia
FINDCAT,BODY MEASUREMENT,Body Measurements,,,215,,,"Finding category, Body measurements"
FINDCAT,BONE METABOLISM,Bone Metabolism,,,1,,,"Finding category, Bone metabolism"
FINDCAT,BREAST NEOPLASMS,Breast Neoplasms,,,20,,,"Breast Neoplasms. History of Breast Neoplasms"
FINDCAT,C-SSRS BASELINE,C-SSRS Baseline,,,216,,,"Columbia-Suicide Severity Rating Scale Baseline Questionnaire"
FINDCAT,C-SSRS BASELINE EVALUATION,C-SSRS Baseline Evaluation,,,1,,,C-SSRS Baseline Evaluation
FINDCAT,C-SSRS BASELINE/SCREENING,C-SSRS Baseline/Screening,,,1,,,"Columbia-Suicide Severity Rating Scale (C-SSRS), Baseline/Screening Version, Version 1/14/09 (Posner, K.; Brent, D.; Lucas, C.; Gould, M.; Stanley, B.; Brown, G.; Fisher, P.; Zelazny, J.; Burke, A.; Oquendo, M.; Mann, J.)"
