section,feature,name,enabled,description
studies,Analysis Study Metadata,studies_view_listings_analysis_study_metadata_new,1,This flag toggles on/off the whole subpage found at Studies/View Listings/Analysis Study Metadata (New)
library,Wizard Stepper,new_activity_instance_wizard_stepper,1,This flag toggles on/off the new wizard stepper to create/edit Activity Instances (Library/Concepts/Activities/Activity Instances)
library,Wizard Stepper,activity_instance_wizard_stepper_categoric_findings,0,This flag toggles on/off the Categoric Findings use case in the new wizard stepper for activity instances
library,Wizard Stepper,activity_instance_wizard_stepper_events,0,This flag toggles on/off the Events use case in the new wizard stepper for activity instances
library,Wizard Stepper,activity_instance_wizard_stepper_textual_findings,0,This flag toggles on/off the Textual Findings use case in the new wizard stepper for activity instances
library,Wizard Stepper,activity_instance_wizard_stepper_edit_mode,0,This flag toggles on/off the edit mode of the new wizard stepper for activity instances
library,Compounds v2,compounds_library,0,This flag toggles on/off the whole subpage found at Library/Concepts/Compounds
studies,Compounds v2,compounds_studies,0,This flag toggles on/off the whole subpage found at Studies/Define Study/Study Interventions
studies,Complexity score,complexity_score_calculation,1,Enables complexity score calculation on the Detailed SoA page
studies,Study Data Suppliers,study_data_suppliers,0,This flag toggles on/off the Study Data Suppliers page found at Studies/Manage/Study Data Suppliers
studies,Study Data Suppliers,study_data_suppliers_create_from_study,0,This flag toggles on/off the ability to create a user-defined data supplier from study level (Add a user defined data supplier button)
admin,Prodex Extension,prodex_extension,1,Show/hide admin menu for managing extracts and loads of ProdEx data into OSB
library,Dictionaries,meddra_dictionary,0,This flag toggles on/off the MedDRA dictionary page found at Library/Dictionaries/MedDRA
library,Dictionaries,loinc_dictionary,0,This flag toggles on/off the LOINC dictionary page found at Library/Dictionaries/LOINC
studies,Protocol – Lab,soa_protocol_lab_table,0,Show/hide 'Protocol - Lab Table' tab on 'Studies > Study Activities'
studies,Placeholder Activities,streamline_placeholder_activities,0,When enabled restores the old placeholder activity workflow: shows the Requested Activities tab and submit option and request type choice
