CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
FINDSCAT,ABERRANT MOTOR BEHAVIOR,Aberrant Motor Behavior,,,1,,,"ABERRANT MOTOR BEHAVIOR subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,ABILITY TO DO THINGS - NEED TO DO,Ability to Do Things You Need to Do,,,1,,,
FINDSCAT,ABILITY TO DO THINGS - WOULD LIKE TO DO,Ability to Do Things You Would Like to,,,1,,,Ability to Do Things You Would Like to Do subcategory for Patient Global Impression
FINDSCAT,ABILITY TO WALK,Ability to Walk,,,1,,,Ability to Walk subcategory for Patient Global Impression
FINDSCAT,ABOUT SCHOOL,About School,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group II

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

About School"
FINDSCAT,ABOUT YOUR FAMILY,About Your Family,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

About your Family"
FINDSCAT,ABOUT YOUR FRIENDS,About Your Friends,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

About your Friends"
FINDSCAT,ABSTRACTION,Abstraction,,,1,,,Subcategory for Montreal Cognitive Assessment (MoCA) with individual items.
FINDSCAT,ACS ANGIOGRAPHY,ACS Angiography,,,1,,,"Was angiography performed?"
FINDSCAT,ACS CHANGE IN CARDIAC BIOMARKER,ACS Changes in Cardiac Biomarkers,,,1,,,"Was the diagnosis supported by a change in cardiac biomarkers?"
FINDSCAT,ACS CORONARY REVASCULARISATION,ACS Coronary Revascularisation,,,1,,,"Was coronary revascularisation performed?"
FINDSCAT,ACS ECG CHANGES,ACS ECG Changes,,,1,,,"Were there any clinically significant ECG changes?"
FINDSCAT,ACS STRESS TESTING,ACS Stress Testing,,,1,,,"Was stress testing performed?"
FINDSCAT,ACTIONS TAKEN TO ENSURE GLYCAEMIC CONTROL,Actions Taken to Ensure Glycaemic Contro,,,1,,,"Actions Taken to Ensure Glycaemic Control"
FINDSCAT,ACUTE CORONARY SYNDROME,Acute Coronary Syndrome,,,1,,,"Sponsor-defined:
Acute Coronary Syndrome Adverse Event Reporting
"
FINDSCAT,ACUTE GALLSTONE DISEASE,Acute gallstone disease,,,1,,,"Sponsor-defined: Acute gallstone disease
Adverse Event Reporting"
FINDSCAT,ACUTE KIDNEY INJURY BIOPSY,AKI Biopsy,,,1,,,Acute Kidney Injury: Kidney Biopsy details
FINDSCAT,ACUTE KIDNEY INJURY CONDITIONS,AKI Conditions,,,1,,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event
FINDSCAT,ACUTE KIDNEY INJURY IMAGING,AKI Imaging,,,1,,,Acute Kidney Injury: Imaging details
FINDSCAT,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,AKI Nephrotoxic Treatment,,,1,,,Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months
FINDSCAT,ACUTE KIDNEY INJURY PRESENT,AKI Presence of Event,,,1,,,Acute Kidney Injury: How did the event present itself
